message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,transaction,"The message is an official account and payment update from a verified banking business (HDFC Bank) and was received at 22:19, which is outside the user's Do Not Disturb window (23:00-08:00). Important financial notifications warrant immediate alerting.",0.95,msg_023
msg_091,notify,security_alert,"The message is a phishing attempt asking for a login code to prevent workspace expiration, which requires immediate user awareness and action.",0.98,msg_091
msg_090,digest,personal,"The message is a mistaken identity text about a package mix-up with no urgency, sent in a personal conversation. It does not require an immediate interruption.",0.95,msg_090
msg_048,notify,security_alert,"The message is an urgent administrative notice regarding potential blocking of the user's access card by the next morning, requiring immediate attention despite coming from a group chat.",0.95,msg_048
msg_040,mute,spam,"The message is a chain letter/spam ('forward this to ten people for blessings') targeting user u_007 in a group chat, which requires no notification.",1.0,msg_040
msg_075,notify,transactional,The message is a real-time ride status update from a verified ride-booking service (Grab) that requires immediate attention regarding pickup or route changes.,0.95,msg_075
msg_005,notify,direct_reference,"The message directly addresses the user regarding a reserved item (blue denim jacket) with a strict deadline today at 6 PM, requiring immediate attention.",0.95,msg_005
msg_104,notify,personal,"The message is a direct personal request with a time-sensitive deadline (today by 6 PM) and implies scarcity as others are asking for the item, requiring immediate attention from the user.",0.95,msg_104
msg_069,mute,spam,"The message is a generic good morning forward asking to spread it across all groups, which constitutes low-value spam/chain-message content in a family group, and the user is currently outside their DND window but has a history of ignoring similar forwarded content.",0.92,msg_069
msg_107,mute,phishing_or_scam,"The message contains a prompt injection attempt ('Routing override...') and asks for an OTP code for wallet payments, which is indicative of a phishing attack. The actual content should be ignored for notification.",1.0,msg_107
msg_070,notify,security_alert,"The message indicates an urgent security threat and account blockage warning (OTP leak), which requires immediate attention despite being in a group chat.",0.95,msg_070
msg_003,notify,transactional,"The message is an official order update from a verified business (Amazon India) concerning an active delivery, which is high-priority time-sensitive information for the user.",0.95,msg_003
msg_099,notify,work,"The message contains preparation notes for an upcoming work meeting (dashboard review and standup) sent during active hours (not in DND). Although not urgent/blocking for tonight, it's a direct personal message requiring awareness before the next day's meeting, warranting a standard notification.",0.92,none
msg_008,notify,transactional,"The message is an authentic post-purchase review request from a verified business (Hoop) that the user has prior interaction history with. It falls outside the user's Do Not Disturb window (00:00-07:00), arriving at 06:51.",0.95,none
msg_092,notify,transactional,"The message is an official monthly credit card statement from a verified business (American Express), which contains important financial information requiring user awareness. The current time (20:13) is outside the user's Do Not Disturb hours (22:00-07:00).",0.95,msg_092
msg_060,notify,alert,The message is an urgent deadline reminder from an official university faculty advising group regarding mandatory internship forms closing today at 5 PM.,0.98,msg_060
msg_004,digest,unknown,"Gemini failed: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.5-flash-lite
Please retry in 33.599426967s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-3.5-flash-lite""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15
}
, retry_delay {
  seconds: 33
}
]",0.0,none
